Instituicao,Trimestre,Ativo Total,Lucro Líquido,Patrimônio Líquido,Asset Growth (%),ROE
BTG Pactual,202203,286768980768.27,1942584754.93,39299529932.63,,4.943022876507976
BTG Pactual,202206,289416510892.67,4009882189.56999,41358735021.67,0.9232275113253419,9.695369521018966
BTG Pactual,202209,315577985742.24,2187662189.43,42261952897.98,9.03938575200085,5.176434214270689
BTG Pactual,202212,319419335845.43,3831954911.56001,42371767801.05,1.2172427345193748,9.043651257489076
BTG Pactual,202303,315101163358.2,2133223191.89,44207587080.6,-1.3518819941819582,4.825468506120165
BTG Pactual,202306,347114512529.86,4574469124.50999,46708475374.72,10.15970516594631,9.793659689833992
BTG Pactual,202309,377362584250.04,2622549673.13001,47772327267.65,8.714147818172236,5.489683720947635
BTG Pactual,202312,391072852966.36,5350096388.09001,49381805976.74,3.633181796114582,10.834144848023646
BTG Pactual,202403,436579845128.6,2773873289.1,51962107415.09,11.636448763206397,5.338261720105788
BTG Pactual,202406,452181962949.08,5597057339.97,53075585559.15,3.5737146353799876,10.545446236730387
BTG Pactual,202409,460872194173.85,3068284349.02,56270405184.76,1.9218438453611153,5.452749698434727
BTG Pactual,202412,483090797029.17,6192329719.16,57466518531.08,4.82099010011845,10.7755435294222
