Instituicao,Trimestre,Ativo Total,Lucro Líquido,Patrimônio Líquido,Asset Growth (%),ROE
Banco Master,202203,12186436713.49,31917980.6699999,781771324.2,,4.082777109106953
Banco Master,202206,14403915168.97,60005879.3,1028856355.13,18.19628253618484,5.832289318212747
Banco Master,202209,16773640425.27,8436672.6900001,1054649497.98,16.451952323386653,0.7999503822036702
Banco Master,202212,20541658008.83,150821273.09,1566286055.73,22.463922488068654,9.629229126968548
Banco Master,202303,23077705673.51,70936180.5800001,1660890814.97,12.34587618774421,4.270971935098659
Banco Master,202306,27331844219.47,290555888.95,1855344203.76,18.433975223295974,15.66048436517417
Banco Master,202309,30857830428.63,3813725.81000013,1858347929.62,12.900652370352095,0.205221301631066
Banco Master,202312,36141585997.5,241232199.91,2382446110.62,17.122900396677633,10.125400059824335
Banco Master,202403,41044130512.42,59485455.5099999,2441625292.28,13.564829488277352,2.436305673031922
Banco Master,202406,50985792542.31,500751544.590001,4187940908.43,24.22188484875234,11.956986871090445
Banco Master,202409,58335367534.98,236650472.71,4412476693.3,14.414947039552327,5.3632118458401195
Banco Master,202412,63014691768.71001,566759996.63,4740712332.53,8.021418963245775,11.955165318532085
