Instituicao,Trimestre,Ativo Total,Lucro Líquido,Patrimônio Líquido,Asset Growth (%),ROE
Banco do Brasil,202203,1955518062886.4,6570636980.82,141976557832.06,,4.627973153562589
Banco do Brasil,202206,1998370277436.36,14158499056.75,144912215305.11,2.191348439231966,9.770397220786077
Banco do Brasil,202209,2049554278100.51,8043522078.07,147128769892.61,2.561287126918854,5.466994717580393
Banco do Brasil,202212,1927604248483.87,16638370733.25,153546924292.42,-5.950075629597917,10.836016943956048
Banco do Brasil,202303,2012874025960.05,8116899953.21,158559667654.25,4.423614315191915,5.119145412759975
Banco do Brasil,202306,1999663172267.72,16444356555.69,157200284660.63,-0.656317957405661,10.460767670485271
Banco do Brasil,202309,2136317823843.41,8391103818.68999,160488585911.16,6.833883499525406,5.22847389491921
Banco do Brasil,202312,2084804993638.69,17170495315.4,163638225977.13,-2.411290568743385,10.49296105043313
Banco do Brasil,202403,2207705133732.48,8781639015.01999,168546039418.44,5.8950424844909755,5.210231605157032
Banco do Brasil,202406,2251931175836.13,17669787329.31,171884693940.65,2.0032585614764065,10.280023732311614
Banco do Brasil,202409,2352074573991.75,8902093974.40998,177680723539.53,4.447000833337511,5.0101630593762545
Banco do Brasil,202412,2304111779842.89,17590401891.96,180878516515.79,-2.0391697899042938,9.724981291752481
