Instituicao,Trimestre,Ativo Total,Lucro Líquido,Patrimônio Líquido,Asset Growth (%),ROE
Bradesco,202203,1428640053573.79,7009200472.08,151098625985.17,,4.638824758583799
Bradesco,202206,1430159672041.47,14084516255.45,152703804615.91,0.1063681830758334,9.223421964420757
Bradesco,202209,1618594274358.7,5210884559.55,156884125011.52,13.175773726597285,3.3214861982800143
Bradesco,202212,1489174461587.79,6647655523.99998,154263223474.44,-7.995815555580599,4.309293799439784
Bradesco,202303,1518101608519.98,4280303837.28001,155321341848.95,1.9424955019271106,2.7557731515367703
Bradesco,202306,1529821990329.91,8797536710.69999,159317514747.59,0.7720419861326766,5.522014779503752
Bradesco,202309,1575129335142.34,4621117612.91001,160800691381.77,2.961608938740623,2.8738170048900096
Bradesco,202312,1581566187915.97,6324264561.81999,161182449370.38,0.40865550720303734,3.9236682321953724
Bradesco,202403,1613648976874.94,4210886150.6,160563465975.65,2.0285454509650025,2.6225680449863953
Bradesco,202406,1650465503575.99,8926791338.02001,160085623990.49,2.281569735962674,5.576260450813693
Bradesco,202409,1646990894015.55,5225422120.85,162931226650.53,-0.21052300414104996,3.207133603712424
Bradesco,202412,1679911718112.92,10158656816.05,160486708886.23,1.998846758472661,6.32990537755468
