Instituicao,Trimestre,Ativo Total,Lucro Líquido,Patrimônio Líquido,Asset Growth (%),ROE
Itaú Unibanco,202203,1436993873504.97,5382000221.01001,116711057267.81,,4.611388455388807
Itaú Unibanco,202206,1500865638318.87,11530709430.05,123542889983.81,4.444818171570253,9.33336546648785
Itaú Unibanco,202209,1605235680649.47,7746150235.46999,127789952659.03,6.953989728721188,6.06162697010955
Itaú Unibanco,202212,1621520166676.94,15943926531.2,129564324609.4,1.0144607563720154,12.305799902300619
Itaú Unibanco,202303,1697339983571.46,6682612577.10999,133841150691.67,4.675847914361819,4.992943158793316
Itaú Unibanco,202306,1762131020649.89,14310657162.42,137633922819.8,3.8172103235381227,10.397623543111912
Itaú Unibanco,202309,1858928929423.56,6427448280.67999,137047430997.02,5.4932299380309635,4.689944374674013
Itaú Unibanco,202312,1852897151712.96,14362324788.17,142044747937.68,-0.32447597189584343,10.111126948862099
Itaú Unibanco,202403,1926659516148.25,6910293025.30998,139918853276.27,3.98092060139974,4.9387862060773156
Itaú Unibanco,202406,2018816941214.72,13156738498.38,146465174795.46,4.7832751087597325,8.982844226795557
Itaú Unibanco,202409,2083041483978.0,7700066760.34999,159479860414.88,3.1812960081777586,4.828237709964505
Itaú Unibanco,202412,2090514800834.83,13515543805.66,166558229314.08,0.35876946831410184,8.114605841644513
