Instituicao,Trimestre,Ativo Total,Lucro Líquido,Patrimônio Líquido,Asset Growth (%),ROE
Santander,202203,915448665045.48,3917375478.67989,82259611595.38,,4.762210035647559
Santander,202206,948191312066.72,7776382196.86998,79929916737.01,3.5766775649417104,9.729000747562742
Santander,202209,963365741337.27,3033159758.61997,80648543678.44,1.6003552318440084,3.7609603599461314
Santander,202212,986299576123.12,4582139250.88996,81076904500.25,2.380594804421321,5.651596196393797
Santander,202303,994591807371.84,2065629044.53,82649442284.32,0.8407416417347102,2.4992655575630964
Santander,202306,1030492596599.04,4183024317.91001,83990898577.34,3.6096003366512974,4.980330474805222
Santander,202309,1075456432756.56,2656626246.47,84726313114.84,4.363334225390392,3.135538593387331
Santander,202312,1066783882157.73,4681203232.34,85913640167.89,-0.8064065018980826,5.448731101594724
Santander,202403,1111326761297.82,3005865192.10999,86735674866.76,4.175436082704542,3.465546554779777
Santander,202406,1172483278727.16,6081522434.76998,87557165438.76,5.503018514367519,6.945773546110938
Santander,202409,1227808703955.86,3521222961.95,88466209886.38,4.718653667177342,3.9803027240258393
Santander,202412,1264470631020.85,6953929918.42998,90105019178.43,2.9859640957805134,7.717583306496498
